id,path,r0,r1,c0,c1
0,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,437,633,379,575
1,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,506,702,635,831
2,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,17,213,590,786
3,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,55,251,990,1186
4,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,498,694,724,920
5,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,118,314,303,499
6,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,493,689,133,329
7,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,252,448,781,977
8,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,113,309,343,539
9,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,502,698,254,450
10,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,109,305,746,942
11,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,255,451,1034,1230
12,/home/gaoha/epe/CarlaDsWithGBuffer/sp111-cloud0-pre0-fog0-sun70-n100-v100/1/rgb_v/1.png,18,214,887,1083
